name,display_name,category,video_ref,course_id,seconds
Excersizes Day 1,Exercises 1,Exercise,https://player.vimeo.com/video/547295679,1,1758
Yoga Day 1 Introduction,Yoga Intro,Exercise,https://player.vimeo.com/video/547268125,1,1814
Exercises Day 3,Exercises 2,Exercise,https://player.vimeo.com/video/547239505,1,1679
Yoga Day 2 Back Strength,Yoga Back Strength,Exercise,https://player.vimeo.com/video/547276010,1,1032
Exercises Day 5,Exercises 3,Exercise,https://player.vimeo.com/video/547241112,1,2000
Yoga Day 3 Floor Exercises,Yoga Floor Exercises,Exercise,https://player.vimeo.com/video/547278312,1,1555
Exercises Day 7,Exercises 4,Exercise,https://player.vimeo.com/video/547254208,1,1733
Meditation 1,Meditation 1,Exercise,https://player.vimeo.com/video/547267477,2,512
Meditation 2,Meditation 2,Exercise,https://player.vimeo.com/video/547267923,2,456
Meditiation 3,Meditation 3,Exercise,https://player.vimeo.com/video/547267807,2,641
